dataset,split,variant,metric,mean,std,seeds
2wiki,analysis_train_slice,controller_dense_only,recall@10,100.0,0.0,3
2wiki,analysis_train_slice,controller_dense_only,recall@5,84.23237308236735,0.016620899036864107,3
2wiki,analysis_train_slice,controller_hkvm_only,all_recall@10,100.0,0.0,3
2wiki,analysis_train_slice,controller_hkvm_only,all_recall@5,92.70056237805578,0.14547728177689928,3
2wiki,analysis_train_slice,controller_hkvm_only,answer_support_rate,88.15180381804966,0.10532843565504355,3
2wiki,analysis_train_slice,controller_hkvm_only,em,88.15180381804966,0.10532843565504355,3
2wiki,analysis_train_slice,controller_hkvm_only,f1,88.3636325913417,0.09862848056830774,3
2wiki,analysis_train_slice,controller_hkvm_only,mrr,0.9607206618827185,0.001564020179453314,3
2wiki,analysis_train_slice,controller_hkvm_only,recall@10,100.0,0.0,3
2wiki,analysis_train_slice,controller_hkvm_only,recall@5,96.62955736638739,0.06208666118488639,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,all_recall@10,99.01679482765216,0.06648359614745235,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,all_recall@5,92.67760817169747,0.1454772817768933,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,answer_support_rate,88.12884961169135,0.10532843565504853,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,em,88.12884961169135,0.10532843565504853,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,f1,88.34067838498338,0.0986284805683141,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,mrr,0.963398652624522,0.0007230681833826319,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,recall@10,99.56960863078159,0.03072492904129554,3
2wiki,analysis_train_slice,phase1c_mlp_topk_4,recall@5,96.61808026320823,0.06208666118488639,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,all_recall@10,100.0,0.0,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,all_recall@5,66.18462833314204,0.07033465821511792,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,answer_support_rate,78.6717165920655,0.05410358324240046,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,em,78.6717165920655,0.05410358324240046,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,f1,79.24267775054952,0.04917981544850652,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,mrr,0.959691912650136,0.0,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,recall@10,100.0,0.0,3
2wiki,analysis_train_slice,quota_dense3_hkvm2,recall@5,85.40016833084663,0.02975697078331757,3
2wiki,analysis_train_slice,rrf_dense_hkvm,all_recall@10,100.0,0.0,3
2wiki,analysis_train_slice,rrf_dense_hkvm,all_recall@5,82.16840736064884,0.1403568332977099,3
2wiki,analysis_train_slice,rrf_dense_hkvm,answer_support_rate,86.17009066911511,0.11964111688366996,3
2wiki,analysis_train_slice,rrf_dense_hkvm,em,86.17009066911511,0.11964111688366996,3
2wiki,analysis_train_slice,rrf_dense_hkvm,f1,86.48740294058986,0.12078101571138196,3
2wiki,analysis_train_slice,rrf_dense_hkvm,mrr,0.9754682233019201,0.00045701653968393223,3
2wiki,analysis_train_slice,rrf_dense_hkvm,recall@10,100.0,0.0,3
2wiki,analysis_train_slice,rrf_dense_hkvm,recall@5,93.25528903171507,0.0744661680241101,3
2wiki,heldout,colbertv2,all_recall@10,100.0,0.0,3
2wiki,heldout,colbertv2,all_recall@5,63.70696349987057,0.0,3
