dataset,seed,split,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate
musique,29,all,controller_dense_only,controller_dense_hkvm,all_recall@10,2417,52.04799338022342,64.54282167976831,12.49482829954489,412,110,1895,0.17045924700041373,0.045510964004964835
musique,43,all,controller_dense_only,controller_dense_hkvm,all_recall@10,2417,52.42035581299131,63.92221762515515,11.50186181216384,356,78,1983,0.14729002896152255,0.032271410839884156
musique,13,all,controller_dense_only,controller_dense_hkvm,all_recall@5,2417,27.347952006619778,43.85601985932975,16.50806785270997,480,81,1856,0.19859329747621018,0.033512618949110465
musique,29,all,controller_dense_only,controller_dense_hkvm,all_recall@5,2417,27.43069921390153,43.11129499379396,15.680595779892428,466,87,1864,0.1928009929664874,0.0359950351675631
musique,43,all,controller_dense_only,controller_dense_hkvm,all_recall@5,2417,27.8444352503103,44.26975589573852,16.42532064542822,508,111,1798,0.21017790649565576,0.045924700041373605
musique,13,all,controller_dense_only,controller_dense_hkvm,answer_support_rate,2417,57.550682664460076,65.20479933802234,7.654116673562267,306,121,1990,0.126603227141084,0.050062060405461316
musique,29,all,controller_dense_only,controller_dense_hkvm,answer_support_rate,2417,57.88167149358709,64.41870086884568,6.537029375258585,286,128,2003,0.11832850641290857,0.05295821266032271
musique,43,all,controller_dense_only,controller_dense_hkvm,answer_support_rate,2417,57.840297889946214,64.54282167976831,6.702523789822093,332,170,1915,0.13736036408771204,0.0703351261894911
musique,13,all,controller_dense_only,controller_dense_hkvm,recall@5,2417,60.16411529444215,72.22107295545442,12.056957661012273,852,153,1412,0.35250310302027305,0.063301613570542
musique,29,all,controller_dense_only,controller_dense_hkvm,recall@5,2417,60.18824989656599,71.6728727072128,11.484622810646806,815,176,1426,0.33719486967314855,0.07281754240794373
musique,43,all,controller_dense_only,controller_dense_hkvm,recall@5,2417,60.41235691628741,72.45207557578266,12.039718659495241,873,211,1333,0.3611915597848573,0.08729830368225072
musique,13,all,controller_dense_only,controller_dense_hkvm,recall@10,2417,78.19955868156117,84.45042063163702,6.250861950075851,520,146,1751,0.21514273893256103,0.06040546131568059
musique,29,all,controller_dense_only,controller_dense_hkvm,recall@10,2417,78.15128947731347,84.71590125499931,6.564611777685836,543,155,1719,0.22465866776996277,0.06412908564335953
musique,43,all,controller_dense_only,controller_dense_hkvm,recall@10,2417,78.21334988277479,84.36422562405185,6.150875741277065,484,118,1815,0.20024824162184526,0.048820852296235
musique,13,all,controller_dense_only,controller_dense_hkvm,mrr,2417,0.8126553972851035,0.853574876371732,0.04091947908662845,428,294,1695,0.17707902358295408,0.12163839470417874
musique,29,all,controller_dense_only,controller_dense_hkvm,mrr,2417,0.8120246140105469,0.8327299682802372,0.020705354269690224,372,263,1782,0.1539098055440629,0.10881257757550683
musique,43,all,controller_dense_only,controller_dense_hkvm,mrr,2417,0.8123746478318261,0.8287219825180107,0.0163473346861845,484,497,1436,0.20024824162184526,0.2056268100951593
musique,13,all,controller_hkvm_only,controller_dense_hkvm,f1,2417,56.438640650217316,65.59814371161626,9.159503061398945,356,130,1931,0.14729002896152255,0.05378568473314026
musique,29,all,controller_hkvm_only,controller_dense_hkvm,f1,2417,56.793441689751496,64.72707263678019,7.933630947028694,357,167,1893,0.1477037649979313,0.06909391808026479
musique,43,all,controller_hkvm_only,controller_dense_hkvm,f1,2417,57.04821381047314,64.89285262221993,7.844638811746797,308,116,1993,0.12743069921390154,0.04799338022341746
musique,13,all,controller_hkvm_only,controller_dense_hkvm,em,2417,55.89573851882499,65.20479933802234,9.309060819197352,345,120,1952,0.14273893256102607,0.049648324369052546
musique,29,all,controller_hkvm_only,controller_dense_hkvm,em,2417,56.22672734795201,64.41870086884568,8.19197352089367,346,148,1923,0.14315266859743483,0.06123293338849814
musique,43,all,controller_hkvm_only,controller_dense_hkvm,em,2417,56.516342573438145,64.54282167976831,8.02647910633016,300,106,2011,0.12412081092263136,0.04385601985932975
musique,13,all,controller_hkvm_only,controller_dense_hkvm,all_recall@10,2417,58.254033926354985,63.88084402151427,5.626810095159288,272,136,2009,0.11253620190318576,0.05626810095159288
musique,29,all,controller_hkvm_only,controller_dense_hkvm,all_recall@10,2417,59.41249482829954,64.54282167976831,5.130326851468763,206,82,2129,0.08522962350020687,0.03392635498551924
musique,43,all,controller_hkvm_only,controller_dense_hkvm,all_recall@10,2417,58.254033926354985,63.92221762515515,5.668183698800165,250,113,2054,0.1034340091021928,0.046752172114191144
musique,13,all,controller_hkvm_only,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,43.85601985932975,8.274720728175424,324,124,1969,0.13405047579644186,0.05130326851468763
musique,29,all,controller_hkvm_only,controller_dense_hkvm,all_recall@5,2417,35.49855192387257,43.11129499379396,7.6127430699213905,324,140,1953,0.13405047579644186,0.05792304509722797
musique,43,all,controller_hkvm_only,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,44.26975589573852,8.688456764584195,295,85,2037,0.1220521307405875,0.03516756309474555
musique,13,all,controller_hkvm_only,controller_dense_hkvm,answer_support_rate,2417,55.89573851882499,65.20479933802234,9.309060819197352,345,120,1952,0.14273893256102607,0.049648324369052546
musique,29,all,controller_hkvm_only,controller_dense_hkvm,answer_support_rate,2417,56.22672734795201,64.41870086884568,8.19197352089367,346,148,1923,0.14315266859743483,0.06123293338849814
musique,43,all,controller_hkvm_only,controller_dense_hkvm,answer_support_rate,2417,56.516342573438145,64.54282167976831,8.02647910633016,300,106,2011,0.12412081092263136,0.04385601985932975
musique,13,all,controller_hkvm_only,controller_dense_hkvm,recall@5,2417,65.83574679354572,72.22107295545442,6.3853261619087025,595,239,1583,0.24617294166321887,0.09888291270169632
musique,29,all,controller_hkvm_only,controller_dense_hkvm,recall@5,2417,65.68059577989243,71.6728727072128,5.992276927320369,588,271,1558,0.24327678940835748,0.112122465866777
musique,43,all,controller_hkvm_only,controller_dense_hkvm,recall@5,2417,65.91159840022065,72.45207557578266,6.540477175561992,544,179,1694,0.22507240380637153,0.07405875051717005
musique,13,all,controller_hkvm_only,controller_dense_hkvm,recall@10,2417,81.63011998345056,84.45042063163702,2.820300648186457,344,188,1885,0.14232519652461728,0.07778237484484898
musique,29,all,controller_hkvm_only,controller_dense_hkvm,recall@10,2417,82.03351261894912,84.71590125499931,2.6823886360502,269,110,2038,0.11129499379395945,0.045510964004964835
musique,43,all,controller_hkvm_only,controller_dense_hkvm,recall@10,2417,81.62322438284374,84.36422562405185,2.7410012412081093,318,161,1938,0.13156805957798925,0.06661150186181217
musique,13,all,controller_hkvm_only,controller_dense_hkvm,mrr,2417,0.8041818534060984,0.853574876371732,0.049393022965633644,482,258,1677,0.1994207695490277,0.10674389739346297
musique,29,all,controller_hkvm_only,controller_dense_hkvm,mrr,2417,0.8044639163071103,0.8327299682802372,0.02826605197312686,489,403,1525,0.20231692180388913,0.16673562267273478
musique,43,all,controller_hkvm_only,controller_dense_hkvm,mrr,2417,0.8068855855678363,0.8287219825180107,0.02183639695017436,303,119,1995,0.12536201903185767,0.049234588332643776
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,f1,1671,58.910379730688106,65.95649473732249,7.046115006634374,210,94,1367,0.12567324955116696,0.056253740275284264
