dataset,seed,split,variant,metric,value,n_examples
musique,13,analysis_train_slice,quota_dense3_hkvm2,f1,59.662631440607775,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,em,59.245960502692995,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,all_recall@10,51.64572112507481,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,all_recall@5,29.74266906044285,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,answer_support_rate,59.245960502692995,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,recall@5,64.05844803510873,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,recall@10,78.54578096947935,1671
musique,13,analysis_train_slice,quota_dense3_hkvm2,mrr,0.8169423783876207,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,f1,59.23284286555571,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,em,58.707360861759426,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,all_recall@10,63.016157989228006,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,all_recall@5,32.375822860562536,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,answer_support_rate,58.707360861759426,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,recall@5,63.524835427887496,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,recall@10,84.10133652503491,1671
musique,13,analysis_train_slice,rrf_dense_hkvm,mrr,0.8304486905474339,1671
musique,13,analysis_train_slice,controller_dense_hkvm,f1,65.95649473732249,1671
musique,13,analysis_train_slice,controller_dense_hkvm,em,65.58946738479952,1671
musique,13,analysis_train_slice,controller_dense_hkvm,all_recall@10,63.37522441651706,1671
musique,13,analysis_train_slice,controller_dense_hkvm,all_recall@5,43.26750448833034,1671
musique,13,analysis_train_slice,controller_dense_hkvm,answer_support_rate,65.58946738479952,1671
musique,13,analysis_train_slice,controller_dense_hkvm,recall@5,72.26710552563335,1671
musique,13,analysis_train_slice,controller_dense_hkvm,recall@10,84.42050668262517,1671
musique,13,analysis_train_slice,controller_dense_hkvm,mrr,0.8541784218175601,1671
musique,13,heldout,colbertv2,f1,56.9629848852369,746
musique,13,heldout,colbertv2,em,56.30026809651474,746
musique,13,heldout,colbertv2,all_recall@10,49.32975871313673,746
musique,13,heldout,colbertv2,all_recall@5,29.08847184986595,746
musique,13,heldout,colbertv2,answer_support_rate,56.30026809651474,746
musique,13,heldout,colbertv2,recall@5,60.656836461126005,746
musique,13,heldout,colbertv2,recall@10,75.96067917783735,746
musique,13,heldout,colbertv2,mrr,0.8087423932933316,746
musique,13,heldout,phase1c_mlp_topk_4,f1,56.18055027119055,746
musique,13,heldout,phase1c_mlp_topk_4,em,55.49597855227882,746
musique,13,heldout,phase1c_mlp_topk_4,all_recall@10,53.88739946380697,746
musique,13,heldout,phase1c_mlp_topk_4,all_recall@5,36.729222520107236,746
musique,13,heldout,phase1c_mlp_topk_4,answer_support_rate,55.49597855227882,746
musique,13,heldout,phase1c_mlp_topk_4,recall@5,66.04110813226094,746
musique,13,heldout,phase1c_mlp_topk_4,recall@10,77.73681858802502,746
musique,13,heldout,phase1c_mlp_topk_4,mrr,0.8007851397931827,746
musique,13,heldout,controller_dense_only,f1,56.41565501820193,746
musique,13,heldout,controller_dense_only,em,55.898123324396785,746
musique,13,heldout,controller_dense_only,all_recall@10,53.75335120643432,746
musique,13,heldout,controller_dense_only,all_recall@5,28.820375335120644,746
musique,13,heldout,controller_dense_only,answer_support_rate,55.898123324396785,746
musique,13,heldout,controller_dense_only,recall@5,60.22117962466488,746
musique,13,heldout,controller_dense_only,recall@10,78.82037533512064,746
musique,13,heldout,controller_dense_only,mrr,0.8085860036597302,746
musique,13,heldout,controller_hkvm_only,f1,56.18055027119055,746
musique,13,heldout,controller_hkvm_only,em,55.49597855227882,746
musique,13,heldout,controller_hkvm_only,all_recall@10,58.44504021447721,746
musique,13,heldout,controller_hkvm_only,all_recall@5,36.729222520107236,746
musique,13,heldout,controller_hkvm_only,answer_support_rate,55.49597855227882,746
musique,13,heldout,controller_hkvm_only,recall@5,66.04110813226094,746
musique,13,heldout,controller_hkvm_only,recall@10,81.23324396782841,746
musique,13,heldout,controller_hkvm_only,mrr,0.8031565172986085,746
musique,13,heldout,quota_dense3_hkvm2,f1,58.14786606006445,746
musique,13,heldout,quota_dense3_hkvm2,em,57.506702412868634,746
musique,13,heldout,quota_dense3_hkvm2,all_recall@10,52.41286863270778,746
musique,13,heldout,quota_dense3_hkvm2,all_recall@5,32.57372654155496,746
musique,13,heldout,quota_dense3_hkvm2,answer_support_rate,57.506702412868634,746
musique,13,heldout,quota_dense3_hkvm2,recall@5,65.16979445933869,746
musique,13,heldout,quota_dense3_hkvm2,recall@10,78.23949955317248,746
musique,13,heldout,quota_dense3_hkvm2,mrr,0.8125962806927954,746
musique,13,heldout,rrf_dense_hkvm,f1,56.216672811847076,746
musique,13,heldout,rrf_dense_hkvm,em,55.630026809651476,746
musique,13,heldout,rrf_dense_hkvm,all_recall@10,63.002680965147455,746
musique,13,heldout,rrf_dense_hkvm,all_recall@5,33.37801608579088,746
musique,13,heldout,rrf_dense_hkvm,answer_support_rate,55.630026809651476,746
musique,13,heldout,rrf_dense_hkvm,recall@5,63.360142984807865,746
musique,13,heldout,rrf_dense_hkvm,recall@10,83.91420911528151,746
musique,13,heldout,rrf_dense_hkvm,mrr,0.8184518490148517,746
musique,13,heldout,controller_dense_hkvm,f1,64.79545662856655,746
musique,13,heldout,controller_dense_hkvm,em,64.343163538874,746
musique,13,heldout,controller_dense_hkvm,all_recall@10,65.01340482573727,746
musique,13,heldout,controller_dense_hkvm,all_recall@5,45.17426273458445,746
musique,13,heldout,controller_dense_hkvm,answer_support_rate,64.343163538874,746
musique,13,heldout,controller_dense_hkvm,recall@5,72.11796246648794,746
musique,13,heldout,controller_dense_hkvm,recall@10,84.51742627345844,746
musique,13,heldout,controller_dense_hkvm,mrr,0.8522229669347632,746
musique,29,all,colbertv2,f1,58.309321991876935,2417
musique,29,all,colbertv2,em,57.75755068266446,2417
musique,29,all,colbertv2,all_recall@10,49.31733553992553,2417
musique,29,all,colbertv2,all_recall@5,27.678940835746793,2417
musique,29,all,colbertv2,answer_support_rate,57.75755068266446,2417
musique,29,all,colbertv2,recall@5,60.36408771203972,2417
musique,29,all,colbertv2,recall@10,76.54461453592609,2417
musique,29,all,colbertv2,mrr,0.8127161442428302,2417
musique,29,all,phase1c_mlp_topk_4,f1,56.77409818675057,2417
musique,29,all,phase1c_mlp_topk_4,em,56.22672734795201,2417
musique,29,all,phase1c_mlp_topk_4,all_recall@10,53.620190318576746,2417
musique,29,all,phase1c_mlp_topk_4,all_recall@5,35.6226727347952,2417
musique,29,all,phase1c_mlp_topk_4,answer_support_rate,56.22672734795201,2417
musique,29,all,phase1c_mlp_topk_4,recall@5,65.7150737829265,2417
musique,29,all,phase1c_mlp_topk_4,recall@10,77.88925665425458,2417
musique,29,all,phase1c_mlp_topk_4,mrr,0.8026452837375468,2417
musique,29,all,controller_dense_only,f1,58.37218631001639,2417
musique,29,all,controller_dense_only,em,57.88167149358709,2417
musique,29,all,controller_dense_only,all_recall@10,52.04799338022342,2417
musique,29,all,controller_dense_only,all_recall@5,27.43069921390153,2417
