dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_dense,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_dense,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,37.7136378912882,0.0,3,-17.85181917457043,-17.85181917457043,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,54.530409598676044,0.6593867377124213,3,-0.3723624327678934,-0.3723624327678934,36.905254447662394,-17.997517583781544,-17.997517583781544,-8.38505033788443,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,36.905254447662394,0.0,3,-17.997517583781544,-17.997517583781544,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,54.1856295683354,0.43040922726044023,3,-0.013791201213628312,-0.013791201213628312,36.73976003309888,-17.459660736450147,-17.459660736450147,-11.956971452213494,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,36.73976003309888,0.0,3,-17.459660736450147,-17.459660736450147,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,28.506412908564336,0.32225407379804005,3,0.04137360364087783,0.04137360364087783,16.756309474555234,-11.708729830368224,-11.708729830368224,-14.287684457316232,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,16.756309474555234,0.0,3,-11.708729830368224,-11.708729830368224,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,55.773420382500674,0.1652862819854786,3,0.2079633166420436,0.2079633166420436,36.378254086934604,-19.187202978924027,-19.187202978924027,-7.605011554458258,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,36.378254086934604,0.0,3,-19.187202978924027,-19.187202978924027,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,55.13722245207558,0.18605347625475202,3,0.23445042063163868,0.23445042063163868,35.581299131154324,-19.321472900289614,-19.321472900289614,-7.778237484484897,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
