variant,metric,mean,std,seeds
colbertv2,all_recall@10,49.31733553992553,0.0,3
colbertv2,all_recall@5,27.678940835746793,0.0,3
colbertv2,answer_support_rate,57.75755068266446,0.0,3
colbertv2,avg_retrieval_tokens,460.13032685146874,0.0,3
colbertv2,em,57.75755068266446,0.0,3
colbertv2,f1,58.309321991876935,0.0,3
colbertv2,gold_rank,1.68349193214729,0.0,3
colbertv2,latency_seconds,0.0,0.0,3
colbertv2,mrr,0.8127161442428302,0.0,3
colbertv2,recall@10,76.54461453592609,0.0,3
colbertv2,recall@5,60.36408771203972,0.0,3
controller_dense_hkvm,all_recall@10,64.11529444214591,0.30277890498000665,3
controller_dense_hkvm,all_recall@5,43.74569024962074,0.4793310494271892,3
controller_dense_hkvm,answer_support_rate,64.72210729554544,0.3450557441234803,3
controller_dense_hkvm,avg_retrieval_tokens,470.2725141359812,1.297347101810104,3
controller_dense_hkvm,em,64.72210729554544,0.3450557441234803,3
controller_dense_hkvm,f1,65.07268965687213,0.377665834328344,3
controller_dense_hkvm,gold_rank,1.5196524617294165,0.03060714689655535,3
controller_dense_hkvm,latency_seconds,0.0,0.0,3
controller_dense_hkvm,mrr,0.8383422757233266,0.010894649431499336,3
controller_dense_hkvm,recall@10,84.51018250356273,0.14966083511865833,3
controller_dense_hkvm,recall@5,72.11534041281662,0.3267759737458896,3
controller_dense_only,all_recall@10,52.17211419114605,0.17553333417953154,3
controller_dense_only,all_recall@5,27.541028823610535,0.2171840538963395,3
controller_dense_only,answer_support_rate,57.75755068266446,0.14724973454739007,3
controller_dense_only,avg_retrieval_tokens,461.1023307130051,0.35917218347001106,3
controller_dense_only,em,57.75755068266446,0.14724973454739007,3
controller_dense_only,f1,58.24722977227297,0.1616142259802113,3
controller_dense_only,gold_rank,1.673838091297752,0.006792779123444886,3
controller_dense_only,latency_seconds,0.0,0.0,3
controller_dense_only,mrr,0.8123515530424922,0.0002580334756523665,3
controller_dense_only,recall@10,78.18806601388314,0.02660744932375338,3
controller_dense_only,recall@5,60.25490736909852,0.11176877825048573,3
controller_hkvm_only,all_recall@10,58.64018756033651,0.5461037063363207,3
controller_hkvm_only,all_recall@5,35.553716728727075,0.039007407595452195,3
controller_hkvm_only,answer_support_rate,56.21293614673838,0.25354814937043346,3
controller_hkvm_only,avg_retrieval_tokens,467.9253896014343,1.7034049865473258,3
controller_hkvm_only,em,56.21293614673838,0.25354814937043346,3
controller_hkvm_only,f1,56.760098716813985,0.2499715647952821,3
controller_hkvm_only,gold_rank,1.774651772169356,0.00434368107792678,3
controller_hkvm_only,latency_seconds,0.0,0.0,3
controller_hkvm_only,mrr,0.805177118427015,0.0012135443539432684,3
controller_hkvm_only,recall@10,81.76228566174781,0.19180708026807183,3
controller_hkvm_only,recall@5,65.80931365788626,0.09614081909789071,3
phase1c_mlp_topk_4,all_recall@10,53.30299269066336,0.29125240769470173,3
phase1c_mlp_topk_4,all_recall@5,35.59509033236795,0.019503703797726098,3
phase1c_mlp_topk_4,answer_support_rate,56.21293614673838,0.25354814937043346,3
phase1c_mlp_topk_4,avg_retrieval_tokens,467.8973934629706,1.7316778676956082,3
phase1c_mlp_topk_4,em,56.21293614673838,0.25354814937043346,3
phase1c_mlp_topk_4,f1,56.75365088248034,0.24927685895406687,3
phase1c_mlp_topk_4,gold_rank,1.657150737829265,0.009472858784208742,3
phase1c_mlp_topk_4,latency_seconds,0.0,0.0,3
phase1c_mlp_topk_4,mrr,0.803366585451815,0.0012048726673109422,3
phase1c_mlp_topk_4,recall@10,77.71112030524526,0.1508738223185194,3
phase1c_mlp_topk_4,recall@5,65.82080632556429,0.08092339788665194,3
quota_dense3_hkvm2,all_recall@10,51.96524617294166,0.05851111139317829,3
quota_dense3_hkvm2,all_recall@5,30.699213901530822,0.05851111139317662,3
quota_dense3_hkvm2,answer_support_rate,58.64018756033651,0.07032160410416319,3
quota_dense3_hkvm2,avg_retrieval_tokens,459.85257205902633,0.12530776797043475,3
quota_dense3_hkvm2,em,58.64018756033651,0.07032160410416319,3
quota_dense3_hkvm2,f1,59.12053352413239,0.07559561194243157,3
quota_dense3_hkvm2,gold_rank,1.6222589987587919,0.002054842701110372,3
quota_dense3_hkvm2,latency_seconds,0.0,0.0,3
quota_dense3_hkvm2,mrr,0.8155737686974758,6.440224995660717e-05,3
quota_dense3_hkvm2,recall@10,78.50526364179653,0.057989591373799325,3
quota_dense3_hkvm2,recall@5,64.39226773318623,0.03716949760675868,3
quota_dense4_hkvm1,all_recall@10,51.30326851468763,0.05851111139317829,3
quota_dense4_hkvm1,all_recall@5,29.692456212936147,0.05160194989344768,3
quota_dense4_hkvm1,answer_support_rate,57.97820990208247,0.08501467387903544,3
quota_dense4_hkvm1,avg_retrieval_tokens,458.3453316783892,0.12178388148932265,3
quota_dense4_hkvm1,em,57.97820990208247,0.08501467387903544,3
quota_dense4_hkvm1,f1,58.46313313696696,0.09004957246333842,3
quota_dense4_hkvm1,gold_rank,1.6519100813680871,0.00249006620952527,3
quota_dense4_hkvm1,latency_seconds,0.0,0.0,3
quota_dense4_hkvm1,mrr,0.8140897369383095,5.624204015161059e-05,3
quota_dense4_hkvm1,recall@10,78.13979680963546,0.06908995708724591,3
quota_dense4_hkvm1,recall@5,63.72109594078978,0.023942291472438974,3
rrf_dense_hkvm,all_recall@10,62.94304233898772,0.1596446959424943,3
rrf_dense_hkvm,all_recall@5,33.08509171148807,0.2833076621731363,3
rrf_dense_hkvm,answer_support_rate,57.90925389601434,0.1186363986628434,3
rrf_dense_hkvm,avg_retrieval_tokens,462.67232105916423,0.46457466268865105,3
rrf_dense_hkvm,em,57.90925389601434,0.1186363986628434,3
rrf_dense_hkvm,f1,58.419729640359826,0.09754260628238479,3
rrf_dense_hkvm,gold_rank,1.6585298579506276,0.0030465759253033254,3
rrf_dense_hkvm,latency_seconds,0.0,0.0,3
rrf_dense_hkvm,mrr,0.8279111474498317,0.0009457963892892295,3
rrf_dense_hkvm,recall@10,83.99186319128397,0.08561844587959778,3
rrf_dense_hkvm,recall@5,63.547556658851654,0.06053047433578733,3
rrf_dense_hkvm_bm25,all_recall@10,62.94304233898772,0.1596446959424943,3
rrf_dense_hkvm_bm25,all_recall@5,33.08509171148807,0.2833076621731363,3
rrf_dense_hkvm_bm25,answer_support_rate,57.90925389601434,0.1186363986628434,3
rrf_dense_hkvm_bm25,avg_retrieval_tokens,462.67232105916423,0.46457466268865105,3
rrf_dense_hkvm_bm25,em,57.90925389601434,0.1186363986628434,3
rrf_dense_hkvm_bm25,f1,58.419729640359826,0.09754260628238479,3
rrf_dense_hkvm_bm25,gold_rank,1.6585298579506276,0.0030465759253033254,3
rrf_dense_hkvm_bm25,latency_seconds,0.0,0.0,3
rrf_dense_hkvm_bm25,mrr,0.8279111474498317,0.0009457963892892295,3
rrf_dense_hkvm_bm25,recall@10,83.99186319128397,0.08561844587959778,3
rrf_dense_hkvm_bm25,recall@5,63.547556658851654,0.06053047433578733,3
