dataset,seed,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate,source_path_before_reorg
musique,43,colbertv2,controller_dense_hkvm,all_recall@10,2417,49.31733553992553,63.92221762515515,14.604882085229624,473,120,1824,0.1956971452213488,0.049648324369052546,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,43,colbertv2,controller_dense_hkvm,all_recall@5,2417,27.678940835746793,44.26975589573852,16.590815059991726,514,113,1790,0.2126603227141084,0.046752172114191144,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,13,calibrated_hkvm_topk4,controller_dense_hkvm,f1,2417,56.438640650217316,65.59814371161626,9.159503061398945,356,130,1931,0.14729002896152255,0.05378568473314026,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,13,calibrated_hkvm_topk4,controller_dense_hkvm,em,2417,55.89573851882499,65.20479933802234,9.309060819197352,345,120,1952,0.14273893256102607,0.049648324369052546,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,2417,52.91683905668184,63.88084402151427,10.964004964832437,392,127,1898,0.1621845262722383,0.05254447662391394,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,43.85601985932975,8.274720728175424,324,124,1969,0.13405047579644186,0.05130326851468763,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,29,calibrated_hkvm_topk4,controller_dense_hkvm,f1,2417,56.77409818675057,64.72707263678019,7.952974450029623,361,169,1887,0.14935870914356641,0.06992139015308234,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,29,calibrated_hkvm_topk4,controller_dense_hkvm,em,2417,56.22672734795201,64.41870086884568,8.19197352089367,350,152,1915,0.1448076127430699,0.06288787753413322,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,2417,53.620190318576746,64.54282167976831,10.92263136119156,425,161,1831,0.17583781547372776,0.06661150186181217,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,2417,35.6226727347952,43.11129499379396,7.488622258998759,324,143,1950,0.13405047579644186,0.059164253206454284,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,43,calibrated_hkvm_topk4,controller_dense_hkvm,f1,2417,57.04821381047314,64.89285262221993,7.844638811746797,308,116,1993,0.12743069921390154,0.04799338022341746,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,43,calibrated_hkvm_topk4,controller_dense_hkvm,em,2417,56.516342573438145,64.54282167976831,8.02647910633016,300,106,2011,0.12412081092263136,0.04385601985932975,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,2417,53.37194869673149,63.92221762515515,10.550268928423666,361,106,1950,0.14935870914356641,0.04385601985932975,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
musique,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,44.26975589573852,8.688456764584195,295,85,2037,0.1220521307405875,0.03516756309474555,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,colbertv2,controller_dense_hkvm,f1,12576,77.76259809482275,88.99977655225747,11.237178457434718,1656,200,10720,0.1316793893129771,0.015903307888040712,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,colbertv2,controller_dense_hkvm,em,12576,77.19465648854961,88.8279262086514,11.633269720101781,1644,181,10751,0.13072519083969467,0.014392493638676845,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,colbertv2,controller_dense_hkvm,all_recall@10,12576,100.0,100.0,0.0,0,0,12576,0.0,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
