dataset,reference_variant,candidate_variant,metric,bootstrap_unit,seeds,n_seeds_completed,n_bootstrap_units,reference_seed_mean,candidate_seed_mean,seed_mean_diff,seed_sd_diff,seed_min_diff,seed_max_diff,all_seed_means_positive,mean_diff,sd_diff,ci_low,ci_high,p_diff_le_0,source_path_before_reorg
musique,colbertv2,controller_dense_hkvm,f1,seed_example,"13,29,43",3,7251,58.309321991876935,65.07268965687213,6.763367664995197,0.46254429369346683,6.417750644903257,7.28882171973933,True,6.763367664995198,42.172505846835584,5.790957861107174,7.726274984852882,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,f1,seed_mean,"13,29,43",3,3,58.309321991876935,65.07268965687213,6.763367664995197,0.46254429369346683,6.417750644903257,7.28882171973933,True,6.763367664995197,0.46254429369346683,6.417750644903257,7.288821719739329,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,em,seed_example,"13,29,43",3,7251,57.75755068266446,64.72210729554544,6.964556612880982,0.42260525295944185,6.661150186181216,7.447248655357882,True,6.9645566128809815,42.763648583168866,5.985381326713557,7.9440766790787425,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,em,seed_mean,"13,29,43",3,3,57.75755068266446,64.72210729554544,6.964556612880982,0.42260525295944185,6.661150186181216,7.447248655357882,True,6.964556612880982,0.42260525295944185,6.661150186181216,7.447248655357882,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,all_recall@10,seed_example,"13,29,43",3,7251,49.31733553992553,64.11529444214591,14.797958902220383,0.3708269110398224,14.563508481588746,15.225486139842781,True,14.797958902220383,45.761268082549904,13.791201213625707,15.873672596883189,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,all_recall@10,seed_mean,"13,29,43",3,3,49.31733553992553,64.11529444214591,14.797958902220383,0.3708269110398224,14.563508481588746,15.225486139842781,True,14.797958902220385,0.3708269110398224,14.563508481588746,15.225486139842781,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,all_recall@5,seed_example,"13,29,43",3,7251,27.678940835746793,43.74569024962074,16.06674941387395,0.5870582444846992,15.432354158047167,16.590815059991726,True,16.06674941387395,46.68045990566766,14.963453316783891,17.15625430975038,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,colbertv2,controller_dense_hkvm,all_recall@5,seed_mean,"13,29,43",3,3,27.678940835746793,43.74569024962074,16.06674941387395,0.5870582444846992,15.432354158047167,16.590815059991726,True,16.06674941387395,0.5870582444846992,15.432354158047167,16.590815059991726,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,f1,seed_example,"13,29,43",3,7251,56.75365088248034,65.07268965687213,8.319038774391789,0.7298762332966964,7.844638811746797,9.159503061398945,True,8.319038774391789,42.30665167867018,7.327224397116886,9.293333792182327,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,f1,seed_mean,"13,29,43",3,3,56.75365088248034,65.07268965687213,8.319038774391789,0.7298762332966964,7.844638811746797,9.159503061398945,True,8.319038774391789,0.7298762332966964,7.844638811746797,9.159503061398945,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,em,seed_example,"13,29,43",3,7251,56.21293614673838,64.72210729554544,8.509171148807061,0.6976494204905113,8.02647910633016,9.309060819197352,True,8.509171148807061,42.67759509127687,7.51620466142601,9.502137636188111,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,em,seed_mean,"13,29,43",3,3,56.21293614673838,64.72210729554544,8.509171148807061,0.6976494204905113,8.02647910633016,9.309060819197352,True,8.509171148807061,0.6976494204905112,8.02647910633016,9.309060819197352,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,seed_example,"13,29,43",3,7251,53.30299269066336,64.11529444214591,10.812301751482554,0.2278680408475837,10.550268928423666,10.964004964832437,True,10.812301751482554,45.29187419346192,9.777961660460626,11.846986622534818,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,seed_mean,"13,29,43",3,3,53.30299269066336,64.11529444214591,10.812301751482554,0.2278680408475837,10.550268928423666,10.964004964832437,True,10.812301751482556,0.2278680408475837,10.550268928423666,10.964004964832435,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
musique,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,seed_example,"13,29,43",3,7251,35.59509033236795,43.74569024962074,8.150599917252793,0.6094712396630633,7.488622258998759,8.688456764584195,True,8.150599917252793,41.47005491276369,7.185215832298994,9.102192800992967,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
