seed,variant,metric,value
29,rrf_dense_hkvm,all_recall@10,100.0
29,rrf_dense_hkvm,all_recall@5,81.84637404580153
29,rrf_dense_hkvm,answer_support_rate,86.10050890585242
29,rrf_dense_hkvm,avg_retrieval_tokens,419.92891221374043
29,rrf_dense_hkvm,em,86.10050890585242
29,rrf_dense_hkvm,f1,86.43696021372688
29,rrf_dense_hkvm,gold_rank,1.0571723918575064
29,rrf_dense_hkvm,latency_seconds,0.0
29,rrf_dense_hkvm,mrr,0.9758729148996325
29,rrf_dense_hkvm,recall@10,100.0
29,rrf_dense_hkvm,recall@5,93.08007315521628
29,rrf_dense_hkvm_bm25,all_recall@10,100.0
29,rrf_dense_hkvm_bm25,all_recall@5,81.84637404580153
29,rrf_dense_hkvm_bm25,answer_support_rate,86.10050890585242
29,rrf_dense_hkvm_bm25,avg_retrieval_tokens,419.92891221374043
29,rrf_dense_hkvm_bm25,em,86.10050890585242
29,rrf_dense_hkvm_bm25,f1,86.43696021372688
29,rrf_dense_hkvm_bm25,gold_rank,1.0571723918575064
29,rrf_dense_hkvm_bm25,latency_seconds,0.0
29,rrf_dense_hkvm_bm25,mrr,0.9758729148996325
29,rrf_dense_hkvm_bm25,recall@10,100.0
29,rrf_dense_hkvm_bm25,recall@5,93.08007315521628
29,quota_dense4_hkvm1,all_recall@10,100.0
29,quota_dense4_hkvm1,all_recall@5,64.86164122137404
29,quota_dense4_hkvm1,answer_support_rate,77.57633587786259
29,quota_dense4_hkvm1,avg_retrieval_tokens,383.65966921119593
29,quota_dense4_hkvm1,em,77.57633587786259
29,quota_dense4_hkvm1,f1,78.14721144937886
29,quota_dense4_hkvm1,gold_rank,1.1025763358778626
29,quota_dense4_hkvm1,latency_seconds,0.0
29,quota_dense4_hkvm1,mrr,0.9606199702633386
29,quota_dense4_hkvm1,recall@10,100.0
29,quota_dense4_hkvm1,recall@5,84.7268606870229
29,quota_dense3_hkvm2,all_recall@10,100.0
29,quota_dense3_hkvm2,all_recall@5,65.88740458015268
29,quota_dense3_hkvm2,answer_support_rate,78.56234096692111
29,quota_dense3_hkvm2,avg_retrieval_tokens,385.41603053435114
29,quota_dense3_hkvm2,em,78.56234096692111
29,quota_dense3_hkvm2,f1,79.12520062870391
29,quota_dense3_hkvm2,gold_rank,1.0989185750636132
29,quota_dense3_hkvm2,latency_seconds,0.0
29,quota_dense3_hkvm2,mrr,0.9607940231330021
29,quota_dense3_hkvm2,recall@10,100.0
29,quota_dense3_hkvm2,recall@5,85.24371819338423
29,controller_dense_only,all_recall@10,100.0
29,controller_dense_only,all_recall@5,63.79611959287532
29,controller_dense_only,answer_support_rate,76.97996183206106
29,controller_dense_only,avg_retrieval_tokens,381.66086195928756
29,controller_dense_only,em,76.97996183206106
29,controller_dense_only,f1,77.55379485208934
29,controller_dense_only,gold_rank,1.1083810432569974
29,controller_dense_only,latency_seconds,0.0
29,controller_dense_only,mrr,0.9604744108203077
29,controller_dense_only,recall@10,100.0
29,controller_dense_only,recall@5,84.05693384223919
29,controller_hkvm_only,all_recall@10,100.0
29,controller_hkvm_only,all_recall@5,92.39821882951654
29,controller_hkvm_only,answer_support_rate,88.0884223918575
29,controller_hkvm_only,avg_retrieval_tokens,432.460082697201
29,controller_hkvm_only,em,88.0884223918575
29,controller_hkvm_only,f1,88.30558717749305
29,controller_hkvm_only,gold_rank,1.1040871501272265
29,controller_hkvm_only,latency_seconds,0.0
29,controller_hkvm_only,mrr,0.9585995244153641
29,controller_hkvm_only,recall@10,100.0
29,controller_hkvm_only,recall@5,96.50922391857506
29,controller_dense_hkvm,all_recall@10,100.0
29,controller_dense_hkvm,all_recall@5,93.15362595419847
29,controller_dense_hkvm,answer_support_rate,88.54166666666667
29,controller_dense_hkvm,avg_retrieval_tokens,432.7682092875318
29,controller_dense_hkvm,em,88.54166666666667
29,controller_dense_hkvm,f1,88.74482563199868
29,controller_dense_hkvm,gold_rank,1.067191475826972
29,controller_dense_hkvm,latency_seconds,0.0
29,controller_dense_hkvm,mrr,0.9726139358415121
29,controller_dense_hkvm,recall@10,100.0
29,controller_dense_hkvm,recall@5,96.92668575063614
43,colbertv2,all_recall@10,100.0
43,colbertv2,all_recall@5,64.11418575063614
43,colbertv2,answer_support_rate,77.19465648854961
43,colbertv2,avg_retrieval_tokens,382.29699427480915
43,colbertv2,em,77.19465648854961
43,colbertv2,f1,77.76259809482275
43,colbertv2,gold_rank,1.1072678117048347
43,colbertv2,latency_seconds,0.0
43,colbertv2,mrr,0.9604941637384385
43,colbertv2,recall@10,100.0
43,colbertv2,recall@5,84.15235368956743
43,phase1c_mlp_topk_4,all_recall@10,98.95833333333333
43,phase1c_mlp_topk_4,all_recall@5,92.50954198473282
43,phase1c_mlp_topk_4,answer_support_rate,88.1599872773537
