dataset,comparison_type,reference_source,reference_variant,reference_label,candidate_source,candidate_variant,candidate_label,metric,metric_label,pooled_mean_diff,pooled_ci_low,pooled_ci_high,pooled_p_diff_le_0,seed_mean_diff,seed_ci_low,seed_ci_high,seed_p_diff_le_0,n_seed_diffs,seed_sd_diff,source_path_before_reorg
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@5,AR@5,16.64597986484623,15.501310164115294,17.76306716314991,0.0,16.64597986484623,16.38394704178734,16.96317749275962,0.0,3,0.2935291222423491,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,f1,F1,-0.17347071224021257,-0.8417275191837728,0.5184033162932625,0.6968,-0.1734707122402126,-0.767479773478946,0.49235572337862493,0.6344,3,0.6329807826725308,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,em,EM,-0.1930768169907599,-0.8826368776720452,0.5102744449041512,0.7148,-0.19307681699075988,-0.8274720728175424,0.5378568473314026,0.7406,3,0.6877648677308886,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@10,AR@10,-0.48269204247689973,-1.4894497310715764,0.48269204247689973,0.8406,-0.48269204247689973,-2.5651634257343816,2.027306578402979,0.634,3,2.3258933421176327,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@5,AR@5,1.4342849262170736,0.7447248655357882,2.1238449868983587,0.0,1.4342849262170736,-0.04137360364087712,3.2271410839884154,0.0384,3,1.6571837004923486,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,BM25 + Static-HG,f1,F1,8.158081161452534,6.969843346412309,9.390079818216558,0.0,8.158081161452534,7.5640721002138,8.823907597071372,0.0,3,0.6329807826725313,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,BM25 + Static-HG,em,EM,8.247138325748173,7.033512618949111,9.47455523376086,0.0,8.247138325748173,7.6127430699213905,8.978071990070335,0.0,3,0.6877648677308884,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@10,AR@10,4.523513998069232,3.2823058888429184,5.681974900013791,0.0,4.523513998069231,2.44104261481175,7.033512618949111,0.0,3,2.3258933421176327,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@5,AR@5,3.3788442973382984,2.399669011170873,4.413184388360226,0.0,3.3788442973382984,1.9031857674803476,5.17170045510964,0.0,3,1.6571837004923489,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,BM25 + Static-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,f1,F1,12.211683685573483,11.151813404682978,13.271461008782818,0.0,12.211683685573483,11.327378398492321,13.285088818612968,0.0,3,0.9924598662254979,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,BM25 + Static-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,em,EM,12.370707488622259,11.253620190318577,13.446421183285064,0.0,12.370707488622259,11.460488208522962,13.446421183285063,0.0,3,1.0032565703750222,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,BM25 + Static-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@10,AR@10,17.252792718245757,16.121914218728453,18.36988001654944,0.0,17.25279271824576,14.853123707074886,18.659495242035582,0.0,3,2.088445091290686,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,BM25 + Static-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@5,AR@5,16.521859053923595,15.432354158047167,17.625155151013654,0.0,16.521859053923595,15.266859743483657,18.742242449317335,0.0,3,1.9283531993941143,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,f1,F1,-0.6915613317249817,-1.4109244493128772,0.04701424859656485,0.9672,-0.6915613317249815,-1.0092288604305522,-0.3511753146083502,1.0,3,0.32961449388498654,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,em,EM,-0.6619776582540339,-1.3929113225761964,0.08274720728175423,0.9656,-0.6619776582540339,-0.9515928837401738,-0.33098882912701694,1.0,3,0.31236385747913736,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,all_recall@10,AR@10,-0.11032960970900565,-0.7723072679630396,0.565439249758654,0.6452,-0.11032960970900564,-0.33098882912701694,0.0,1.0,3,0.19109648959524228,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,all_recall@5,AR@5,1.6135705419942077,0.9102192800992966,2.303130602675493,0.0,1.6135705419942077,1.0757136946628052,2.44104261481175,0.0,3,0.7272815817644577,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_kg_ppr,phase1c_mlp_topk_4,Weighted-KG-PPR only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,f1,F1,8.975374346321365,7.9281615163033035,10.061248155474937,0.0,8.975374346321367,8.657706817615797,9.315760363437997,0.0,3,0.3296144938849858,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_kg_ppr,phase1c_mlp_topk_4,Weighted-KG-PPR only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,em,EM,9.102192800992967,8.012687905116536,10.17790649565577,0.0,9.102192800992967,8.812577575506827,9.433181630119984,0.0,3,0.3123638574791374,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_kg_ppr,phase1c_mlp_topk_4,Weighted-KG-PPR only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,all_recall@10,AR@10,8.909115984002206,7.750655082057647,10.05378568473314,0.0,8.909115984002208,8.688456764584195,9.019445593711213,0.0,3,0.1910964895952425,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_kg_ppr,phase1c_mlp_topk_4,Weighted-KG-PPR only,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,all_recall@5,AR@5,6.247414149772445,5.337194869673149,7.1576334298717414,0.0,6.247414149772445,5.709557302441042,7.074886222589988,0.0,3,0.7272815817644579,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,f1,F1,12.729774305058251,11.675123129008213,13.775482067879445,0.0,12.729774305058251,12.491575573130888,12.86878435974237,0.0,3,0.20724481282815158,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,em,EM,12.839608329885532,11.777685836436353,13.887739622121087,0.0,12.839608329885534,12.61894911046752,12.94993793959454,0.0,3,0.1910964895952425,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@10,AR@10,16.880430285477864,15.777134188387809,17.983726382567923,0.0,16.880430285477868,16.42532064542822,17.335539925527513,0.0,3,0.45510964004964727,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,weighted_kg_ppr,controller_dense_hkvm,BM25 + Weighted-KG-PPR,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@5,AR@5,16.342573438146463,15.280650944697284,17.41828713280927,0.0,16.342573438146463,15.597848572610674,17.170045510964005,0.0,3,0.7893580483383914,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,f1,F1,12.038212973333271,10.934648216479312,13.120314050506023,0.0,12.038212973333271,11.777295752994846,12.517609045134018,0.0,3,0.41571107638804544,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,em,EM,12.1776306716315,11.129499379395945,13.322300372362433,0.0,12.1776306716315,11.915597848572611,12.61894911046752,0.0,3,0.3844258685634078,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@10,AR@10,16.77010067576886,15.611639773824301,17.969935181354295,0.0,16.77010067576886,16.0943318163012,17.335539925527513,0.0,3,0.6279162839791592,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@5,AR@5,17.95614398014067,16.880430285477864,19.08702247965798,0.0,17.956143980140666,16.67356226727348,18.700868845676457,0.0,3,1.1155538901706874,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_hg_kv,phase1c_mlp_topk_4,WHG-KV only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,f1,F1,1.3297518558338781,0.49184594578354723,2.1584104310752883,0.001,1.3297518558338781,1.0483873312252274,1.5145849996418275,0.0,3,0.24763642122825152,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,weighted_hg_kv,phase1c_mlp_topk_4,WHG-KV only,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,em,EM,1.310164115294442,0.4551096400496483,2.1238449868983587,0.0008,1.310164115294442,1.034340091021928,1.4480761274306992,0.0,3,0.23887061199405288,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
