dataset,variant,source,all_recall@5,all_recall@10,f1,em,answer_support_rate,latency_seconds,avg_retrieval_tokens
2wiki,answer_path_t1:weighted_hg_kv,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,71.97837150127226,99.6501272264631,79.2991747806942,78.64980916030534,78.64980916030534,0.00015711588866945393,393.89917302798983
2wiki,answer_path_t2:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518/summary.json,73.48918575063614,99.6501272264631,80.12770027426797,79.46087786259542,79.46087786259542,0.00029350731780138274,394.45578880407123
musique,answer_path_t1:weighted_hg_kv,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,18.700868845676457,38.64294580057923,39.9245297898094,39.22217625155151,39.22217625155151,0.0003298828797678202,411.095159288374
musique,answer_path_t2:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518/summary.json,19.445593711212247,39.22217625155151,39.843324391061586,39.098055440628876,39.098055440628876,0.0006341215819455638,409.1965246172942
hotpotqa,answer_path_t1:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,55.48953409858204,98.19041188386225,72.95650424917216,72.58609047940581,72.58609047940581,0.0002639086180557955,432.94152599594867
hotpotqa,answer_path_t2:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518/summary.json,53.57191087103308,98.19041188386225,73.01017224071997,72.64010803511141,72.64010803511141,0.0003691773743528203,432.5959486833221
