seed,reference,candidate,metric,mean_diff,ci_low,ci_high,p_diff_le_0
29,colbertv2,controller_dense_hkvm,f1,6.417750644903258,4.855038731658929,7.986421251637579,0.0
29,colbertv2,controller_dense_hkvm,em,6.661150186181216,5.0062060405461315,8.274720728175424,0.0
29,colbertv2,controller_dense_hkvm,all_recall@10,15.225486139842781,13.280926768721555,16.921803889118742,0.0
29,colbertv2,controller_dense_only,f1,0.0628643181394526,-0.6946180636219333,0.8450454875288773,0.438
29,colbertv2,controller_dense_only,em,0.12412081092263136,-0.6206040546131568,0.8688456764584195,0.412
29,colbertv2,controller_dense_only,all_recall@10,2.73065784029789,0.4137360364087712,4.9648324369052546,0.007
29,colbertv2,controller_hkvm_only,f1,-1.5158803021254366,-4.0025408433011425,0.9323373316041343,0.904
29,colbertv2,controller_hkvm_only,em,-1.5308233347124534,-4.095986760446835,0.8688456764584195,0.905
29,colbertv2,controller_hkvm_only,all_recall@10,10.095159288374017,8.02647910633016,12.163839470417873,0.0
29,colbertv2,phase1c_mlp_topk_4,f1,-1.5352238051263665,-3.9340716953466424,0.7661493385646733,0.897
29,colbertv2,phase1c_mlp_topk_4,em,-1.5308233347124534,-3.9718659495242035,0.8274720728175424,0.895
29,colbertv2,phase1c_mlp_topk_4,all_recall@10,4.302854778651221,1.9859329747621017,6.5784029788994625,0.0
29,colbertv2,quota_dense3_hkvm2,f1,0.8402705683480025,0.021713522029267955,1.6349691350780136,0.018
29,colbertv2,quota_dense3_hkvm2,em,0.9102192800992966,0.08274720728175423,1.737691352916839,0.015
29,colbertv2,quota_dense3_hkvm2,all_recall@10,2.689284236657013,1.9031857674803476,3.5167563094745553,0.0
29,colbertv2,quota_dense4_hkvm1,f1,0.26643122330468544,-0.3229262082124482,0.8946040204886534,0.185
29,colbertv2,quota_dense4_hkvm1,em,0.33098882912701694,-0.2896152254861398,0.9515928837401738,0.152
29,colbertv2,quota_dense4_hkvm1,all_recall@10,2.027306578402979,1.406702523789822,2.73065784029789,0.0
29,colbertv2,rrf_dense_hkvm,f1,0.23145303225065886,-1.672110275386091,2.172010448495638,0.389
29,colbertv2,rrf_dense_hkvm,em,0.2896152254861398,-1.5308233347124534,2.110053785684733,0.398
29,colbertv2,rrf_dense_hkvm,all_recall@10,13.777410012412082,11.708729830368226,15.846090194455938,0.0
29,colbertv2,rrf_dense_hkvm_bm25,f1,0.23145303225065886,-1.6290842268725965,2.1130878342406336,0.405
29,colbertv2,rrf_dense_hkvm_bm25,em,0.2896152254861398,-1.737691352916839,2.027306578402979,0.396
29,colbertv2,rrf_dense_hkvm_bm25,all_recall@10,13.777410012412082,11.874224244931733,15.80471659081506,0.0
