dataset,metric,metric_label,variant,variant_label,mean,std,seeds,delta_vs_colbertv2,delta_vs_calibrated_hkvm,candidate_mean,candidate_delta_vs_colbertv2,candidate_delta_vs_calibrated_hkvm,candidate_vs_colbertv2_ci_low,candidate_vs_colbertv2_ci_high,candidate_vs_colbertv2_p_diff_le_0,candidate_vs_calibrated_hkvm_ci_low,candidate_vs_calibrated_hkvm_ci_high,candidate_vs_calibrated_hkvm_p_diff_le_0
2wiki,em,EM,rrf_dense_hkvm,RRF dense+HKVM,86.23038592027142,0.1071426152004187,3,9.035729431721805,-1.950805767599661,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,86.23038592027142,0.1071426152004187,3,9.035729431721805,-1.950805767599661,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,controller_dense_only,Controller dense-only,77.10718829516539,0.0901966684010475,3,-0.0874681933842254,-11.074003392705691,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,controller_hkvm_only,Controller HKVM-only,88.20504664970314,0.10495647727535935,3,11.010390161153524,0.023854961832057597,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,controller_dense_hkvm,Controller dense+HKVM,88.6582909245123,0.12272939888454616,3,11.463634435962689,0.477099236641223,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,all_recall@10,AR@10,colbertv2,ColBERTv2,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,calibrated_hkvm_topk4,Learned HKVM calibration,99.02989821882952,0.07022710612538151,3,-0.9701017811704844,0.0,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,quota_dense3_hkvm2,Quota dense3+HKVM2,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,quota_dense4_hkvm1,Quota dense4+HKVM1,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,rrf_dense_hkvm,RRF dense+HKVM,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,controller_dense_only,Controller dense-only,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,controller_hkvm_only,Controller HKVM-only,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@10,AR@10,controller_dense_hkvm,Controller dense+HKVM,100.0,0.0,3,0.0,0.9701017811704844,100.0,0.0,0.9701017811704844,0.0,0.0,1.0,0.871965118744699,1.0708227311280747,0.0
2wiki,all_recall@5,AR@5,colbertv2,ColBERTv2,64.11418575063614,0.0,3,0.0,-28.416560644614066,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,calibrated_hkvm_topk4,Learned HKVM calibration,92.5307463952502,0.1371644299505449,3,28.416560644614066,0.0,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,quota_dense3_hkvm2,Quota dense3+HKVM2,65.94571670907548,0.04322918371050567,3,1.8315309584393447,-26.58502968617472,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,quota_dense4_hkvm1,Quota dense4+HKVM1,64.88019508057675,0.01351521287530162,3,0.7660093299406157,-27.65055131467345,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,rrf_dense_hkvm,RRF dense+HKVM,82.00010602205258,0.13374126178480378,3,17.88592027141644,-10.530640373197627,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,82.00010602205258,0.13374126178480378,3,17.88592027141644,-10.530640373197627,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,controller_dense_only,Controller dense-only,63.98960983884648,0.13716442995054395,3,-0.12457591178966254,-28.54113655640373,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,controller_hkvm_only,Controller HKVM-only,92.55460135708228,0.1371644299505503,3,28.440415606446138,0.023854961832071808,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
2wiki,all_recall@5,AR@5,controller_dense_hkvm,Controller dense+HKVM,93.29940627650552,0.1582803077484491,3,29.185220525869383,0.7686598812553171,93.29940627650552,29.185220525869383,0.7686598812553171,28.686850614927906,29.683590436810857,0.0,0.6520356234096693,0.8880009541984724,0.0
