dataset,metric,metric_label,d0_weighted_mean,oracle_d1_mean,phase1b_scorer_mean,phase1b_scorer_sd,phase1c_mlp_mean,phase1c_mlp_sd,delta_vs_scorer,seed_min_delta,seed_max_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_diff_le_0,seed_mean_ci_low,seed_mean_ci_high,all_seed_means_positive,n_seeds,n_seed_example_units,candidate_variant,baseline_variant,feature_profile,selection_policy,validation_summary_csv
musique,f1,F1,39.9245297898094,74.33041489904576,54.62093909006644,0.0,56.75365088248034,0.3053005545605979,2.1327117924139003,1.8177015601508775,2.427274720406702,1.4790109167177847,2.7871285038227533,0.0,1.8177015601508775,2.427274720406702,True,3,7251,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_musique10k_20260523/validation_summary.csv
musique,em,EM,39.22217625155151,74.05875051717004,54.03392635498552,0.0,56.21293614673838,0.31053179559226696,2.1790097917528612,1.8618121638394705,2.4824162184526273,1.5446145359260792,2.785822645152393,0.0,1.8618121638394705,2.4824162184526273,True,3,7251,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_musique10k_20260523/validation_summary.csv
musique,all_recall@10,AR@10,38.64294580057923,73.065784029789,50.31030202730658,0.0,53.30299269066336,0.35670989260453817,2.9926906633567825,2.6065370293752586,3.3098882912701697,2.4272514135981242,3.627430699213901,0.0,2.6065370293752586,3.3098882912701697,True,3,7251,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_musique10k_20260523/validation_summary.csv
2wiki,f1,F1,79.2991747806942,90.88406383074799,87.21186669772212,0.0,88.39122632467331,0.12164986932051555,1.1793596269511966,1.069865517938879,1.3103101641494097,1.0407237270613825,1.317794250324759,0.0,1.069865517938879,1.3103101641494097,True,3,37728,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_2wiki10k_20260524/validation_summary.csv
2wiki,em,EM,78.64980916030534,90.83174300254453,86.96723918575064,0.0,88.18119168787108,0.12854490726231663,1.213952502120435,1.0973282442748091,1.3517811704834606,1.0734732824427482,1.3623833757421544,0.0,1.0973282442748091,1.3517811704834604,True,3,37728,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_2wiki10k_20260524/validation_summary.csv
2wiki,all_recall@10,AR@10,99.6501272264631,99.63422391857506,98.37786259541984,0.0,99.02989821882952,0.08601028805973385,0.6520356234096738,0.580470737913486,0.7474554707379135,0.5724528201865987,0.7316184266327395,0.0,0.580470737913486,0.7474554707379135,True,3,37728,mlp_base_only_topk_4,baseline_scorer_topk_4,mlp_base_only,topk_4,{REMOTE_RUN_ROOT}/phase1c_validation_2wiki10k_20260524/validation_summary.csv
