dataset,comparison_type,reference_source,reference_variant,reference_label,candidate_source,candidate_variant,candidate_label,metric,metric_label,pooled_mean_diff,pooled_ci_low,pooled_ci_high,pooled_p_diff_le_0,seed_mean_diff,seed_ci_low,seed_ci_high,seed_p_diff_le_0,n_seed_diffs,seed_sd_diff,source_path_before_reorg
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,em,EM,-3.075437870638533,-3.751206730106192,-2.4134602123844986,1.0,-3.075437870638533,-3.723624327678941,-1.9859329747621015,1.0,3,0.9491913836750663,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,all_recall@10,AR@10,0.33098882912701694,-0.6343952558267825,1.3239553165080677,0.2626,0.33098882912701705,-1.8618121638394705,1.8618121638394705,0.2574,3,1.9480773466269845,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,all_recall@5,AR@5,0.48269204247689973,-0.2758240242725141,1.2549993104399393,0.1064,0.48269204247689973,-0.2068680182043856,1.034340091021928,0.0384,3,0.6319922348580664,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,f1,F1,17.544812957392967,16.38370146371071,18.68154535370822,0.0,17.544812957392967,16.891902861079526,18.60707903322715,0.0,3,0.9279744413790639,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,em,EM,17.776858364363537,16.618397462418976,18.866363260239968,0.0,17.776858364363534,17.128671907323127,18.866363260239968,0.0,3,0.9491913836750671,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,all_recall@10,AR@10,12.908564335953661,11.750103434009102,14.108398841539097,0.0,12.908564335953661,10.715763342987174,14.439387670666115,0.0,3,1.9480773466269847,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,all_recall@5,AR@5,11.40532340366846,10.398565715073783,12.412081092263136,0.0,11.40532340366846,10.715763342987174,11.956971452213487,0.0,3,0.6319922348580664,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,f1,F1,9.814238808190963,8.88027616653283,10.73647692748912,0.0,9.814238808190963,9.277426787100909,10.287311869852209,0.0,3,0.5079507469260183,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,em,EM,10.039994483519514,9.08840159977934,11.005378568473313,0.0,10.039994483519514,9.433181630119984,10.508895324782788,0.0,3,0.5509580569697464,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,all_recall@10,AR@10,14.466970073093366,13.474003585712316,15.473727761688043,0.0,14.466970073093366,12.701696317749276,16.466694249069093,0.0,3,1.8934169127562448,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,static_hg,controller_dense_hkvm,ColBERTv2 + Static-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,all_recall@5,AR@5,15.584057371397048,14.577299682802373,16.60460626120535,0.0,15.58405737139705,14.398014067025239,16.797683078196112,0.0,3,1.200072261360204,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,weighted_kg_ppr,controller_dense_hkvm,ColBERTv2 + Weighted-KG-PPR,f1,F1,-1.4560693660779351,-1.9654269645431321,-0.9418884091994196,1.0,-1.4560693660779354,-3.32475661865587,0.09780922725993181,0.9636,3,1.732863991015086,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,weighted_kg_ppr,controller_dense_hkvm,ColBERTv2 + Weighted-KG-PPR,em,EM,-1.461867328644325,-1.972141773548476,-0.9515928837401738,1.0,-1.461867328644325,-3.351261894911046,0.08274720728175423,0.9648,3,1.7427735310352355,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,weighted_kg_ppr,controller_dense_hkvm,ColBERTv2 + Weighted-KG-PPR,all_recall@10,AR@10,0.33098882912701694,-0.4275272376223969,1.1170872983036821,0.2092,0.330988829127017,-1.1584609019445593,1.2412081092263136,0.2564,3,1.3004744431528101,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
