dataset,seeds,examples_mean,candidate_passages_mean,milliseconds_per_example_mean,microseconds_per_candidate_mean,examples_per_second_mean,candidate_passages_per_second_mean
2wiki,3,12576.0,125237.0,0.20723413881206723,20.80995655996676,4868.790723365165,48485.42810290101
hotpotqa,3,7405.0,73700.0,0.20007659751033238,20.10267577427424,5109.9857991069175,50858.33266633083
musique,3,2417.0,33939.666666666664,0.2881753381242173,20.5221680713907,3545.8050297840914,49789.93376197951
all_seed_rows,9,7466.0,77625.55555555556,0.2318286914822056,20.478266801877233,4508.193850752057,49711.231510403784
