dataset,seed,repeat,feature_count,feature_mode,examples,candidate_passages,elapsed_seconds,milliseconds_per_example,microseconds_per_candidate,examples_per_second,candidate_passages_per_second,ranking_checksum
2wiki,13,3,23,dense_hkvm,12576,125237,2.3921855411026627,0.19021831592737456,19.10126832407885,5257.117302950996,52352.544502995705,54c10cfdbf903baa634bad2032787faf0d7a87deef2f56a99a12fa8b64c4a1aa
2wiki,13,4,23,dense_hkvm,12576,125237,2.6435158799868077,0.21020323473177543,21.108106070784256,4757.3007203053985,47375.164623798286,54c10cfdbf903baa634bad2032787faf0d7a87deef2f56a99a12fa8b64c4a1aa
2wiki,13,5,23,dense_hkvm,12576,125237,2.003241616068408,0.15929084097236068,15.995605260972459,6277.824851044103,62517.17166588822,54c10cfdbf903baa634bad2032787faf0d7a87deef2f56a99a12fa8b64c4a1aa
2wiki,13,6,23,dense_hkvm,12576,125237,2.633759391028434,0.209427432492719,21.030201865490504,4774.923648241575,47550.661015810285,54c10cfdbf903baa634bad2032787faf0d7a87deef2f56a99a12fa8b64c4a1aa
2wiki,29,0,23,dense_hkvm,12576,125237,2.5006504021584988,0.19884306632939716,19.967345130899805,5029.091627180158,50081.770683298455,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,29,1,23,dense_hkvm,12576,125237,2.7203932490665466,0.21631625708226357,21.72196115418404,4622.861053016958,46036.35891354046,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,29,2,23,dense_hkvm,12576,125237,2.4949591311160475,0.1983905161510852,19.921901124396523,5040.563527938228,50196.01260722009,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,29,3,23,dense_hkvm,12576,125237,2.2066170847974718,0.17546255445272518,17.6195300494061,5699.221712114249,56755.20273219245,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,29,4,23,dense_hkvm,12576,125237,2.436105713946745,0.1937106960835516,19.451964786339058,5162.337548819082,51408.68858154067,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,29,5,23,dense_hkvm,12576,125237,2.905417234869674,0.2310287241467616,23.199351907740315,4328.46609742236,43104.65240480948,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
